pid,hashid
P000002040,f259751367c904e12d8e6d4b2b29b6e6
P000018204,93b716628ec4173530e9fc10de9b1c5c
P000036930,290b013dfe7d6ea81a35a8d87af68ad9
P000059526,3993cc0401ac1d2acff3647a88b37c60
P000070723,1dbcc205b2a9b754d6e2ed33945ae4a9
P000071580,0f093fd84c8edbdafc2c23265525f58a
P000071580,0f093fd84c8edbdafc2c23265525f58a
P000079245,2b791c25dcf16c0b74b1dfeb77a0ad78
P000128666,242635e82c4e2eea7abca548f8283f79
P000138691,b9aecb40c1baf6d22feaa40b5d702c7a
P000311818,bfc54fe74fa5ee0a6c3ba6038dfb8fa7
P000380496,ee7c9d8e876271f86332c63b1bb22eda
P000381748,9e2964ac86c46ab58f2ca015ab8d9320
P000413149,eb7b02558ccf1afaa8b20f5c2384931b
P000472033,588ed9f7ac43900ba54e424b41234aeb
P000563172,2a6883160bf5500f6ad817fe4e8e66e2
P000609914,f27a838192d2ee79c1ef333d56e8812a
P000727742,f9e37fc43a42bbf209bb13c35f1c31e0
P000751351,1da30eb6c25b59c75bf2db2227f9924b
P000762013,07ad79a461909ecf342ead855f5c325d
P000791280,3212417826afbccfb38cf90e2ef301a0
P000822635,c4f02ecab2b12693829215bb4c3e7755
P000841316,31c85e308ea55d43105e1c3818ab54bb
P000847085,fe2381ee9ec366a4a3bd42b6f278b231
P000852830,b002a7edbb37c9bdc6198d8bae1492cf
P000912917,a7e167e9dc6dcb88b5dbf179fbefc573
P000923725,f00f06f161e8e9fa324498ac45d5dd67
P000939802,cf5a9d73e3ea5ebec5050993e844fb70
P000957868,a82e127cfad76e75209e636e926cf6a5
P000986116,001cbce8df32c6e5e6a36c077ad07e53
P001015610,415ef6c318d80ef14f9edd1763377b39
P001027816,02182618ff7eba8b4ddb7a9221956cdd
P001039501,44e3c782aa8299e5fd9e50959bc5bc79
P001055290,aaee3f9e9a198e4ae303fc20bc869a84
P001057097,8f47d9f3a871484e58f0a212d0563ce0
P001058583,ad7db095280301460dba5e9f68f8e12f
P001058583,ad7db095280301460dba5e9f68f8e12f
P001059641,c0bbea7abb14f7a9ce324db1e52eaf23
P001067350,3686a0c3276bcd361ff99e07067cc72b
P001067350,3686a0c3276bcd361ff99e07067cc72b
P001067833,13c054c666b57f2c0105121ee4652878
P001068793,5add5886c18ab8eb7e5faca37ee0d9f1
P001068793,5add5886c18ab8eb7e5faca37ee0d9f1
P001071442,50d41c529e881faed9a01ea67fbd51e3
P001074044,2ac655897da09b36888f4fd5d21f0761
P001079591,36386d498b2843474de94d86d9c1d754
P001085088,0a0b933f2e05de2da4e21746d867e4ab
P001091402,045fa53e00d2ba3f4c471d3371689214
P001102308,391e52d2cad12c6dcbc2f99ba32abe41
P001102308,391e52d2cad12c6dcbc2f99ba32abe41
P001104584,e37518b4d93453131a88dc3c972d26eb
P001107695,706e91f77b7c87171e3f34b84593bc1f
P001109933,eda97ad0e481896a74b633a326289eee
P001112946,5f08e8179d18b6917eb0019f94d6ac0e
P001118399,40860dd4f7a5c0f8575606055f14468c
P001122127,26e43b7513261faf868068523877608a
P001122616,337bbbb2c6d6eddd25d1f1bd9b52cac3
P001126024,2e390532edab86159a18f7b7d8983651
P001127092,5428965de290975680ae26d449393367
P001131009,4e59e4a75c6592c0858de91d3243ffdc
P001139958,66d166e51b3ea061ca7b611ba32f9784
P001153705,4fca2417843d0957f9f38cdaab60d489
P001154604,8cbf8184b961eb84cb57bd0eabe84a25
P001155057,ad361e438d2ea1fd985a79c195a4e1e7
P001160697,071a174f277be00a3b4a85f15be5989b
P001164920,a6ac323a26ab9d88b274b380d6376bb4
P001165178,27b87a7b1cdbf72082e6e0952dd38229
P001175047,5d3542a9b5d38d6abcf831b51d28a1d7
P001182492,bc5f0ca16ebb2270509e21e29a23eaf2
P001184584,dda8c76c9adc1a308ff3baaa87c3c2ee
P001185171,355f5ddcba8d5abd9fb1d2acb5dcf37e
P001186630,7a5bbb8a42866a8d287b31e78120c2f3
P001191437,d51024b4bd0d89ed32859b82e25e0b32
P001198231,e4611909195fe0853b56b069164ebaeb
P001203233,5002b2ce18699964d4498f06e66d6077
P001204621,8e43d918a499ed45a815941b3be05833
P001204743,aea832d6692d8766182969f256592a0f
P001204914,54f3d89ba51a67bde23fccd9c7440a0f
P001205785,85124450e077acc948c583e3f84f23cc
P001205818,b2e98ad6cc1591adcb3dd5afa04c0b57
P001206164,e08f23ad718fa03c19a6621d52e982a2
P001208195,405aebbf9eb20a9984da430dd6100583
P001208403,4a7bd5ff0f05e2b7886976c0549462b1
P001208403,4a7bd5ff0f05e2b7886976c0549462b1
P001209528,85950a1a0858b97c3bda52025d950cd9
P001210117,b24de4dcb5bc060645882d4325f7ab17
P001210912,48c3c215f9b056ce94130779ac1a54fc
P001211782,6948d4b0bfd5b535b5e339192b922d08
P001213033,c7c47a2c93f9107247d54b8b6fe61455
P001213275,1c35ee1d9137cedae57b92653390abdf
P001215436,a7ed2a62485dc877867a67078ce24f34
P001215501,c2f53cc42b837d28c453cdfaffc8258f
P001215501,c2f53cc42b837d28c453cdfaffc8258f
P001217932,4739cf549c81e00a48fd085f31e04b49
P001218033,fa93fdf5f64497c088e2cdb9d1381596
P001218387,7f6ef2657fbee668e4bbd2dedd86fd7e
P001218710,fbe04b86bc16db8cad3a2e9347d5b123
P001219234,cb94855df463e0fe3292e929f3e3aa1f
P001220765,b5f7d260ac70a196c98d4bed7df12636
P001220765,b5f7d260ac70a196c98d4bed7df12636
P001222611,6e13918212fa16f4448d9dbaef5164a9
P001223894,2e4d9225012d4a9bfdb30e6a61a4c4a0
P001224097,302bf4b639d2808ec60a40f52d8f50e4
P001229003,6e695c4f554434e68ff36329faaf04e0
P001230367,45857409f62ed455facf54d3c31aeff9
P001230367,45857409f62ed455facf54d3c31aeff9
P001230872,008e3f4d665e2aabc5ceb06448473ad7
P001232519,56eec423dea50968b455504133fda5e3
P001237072,361423172628d92a7a64e217e801e7e3
P001237514,ece8814ff5936fed7af48e0ad47312f3
P001240234,81f3a45b6879f4a5972522758a00fb5d
P001240533,9bdb49b48274f81f38e7fb28706dbd2c
P001244837,2227fdf27e9935b998b4212736270b7c
P001245583,d3094d4113350508424a004e80232822
P001246489,9e3cad830948fc0d0154859dfab49bf4
P001248633,04c4697e837cd5336b2a8ce38dedadcc
P001249590,08c8865c48e169a8c85dc9f2262827f7
P001251046,abdaff911119749b1f8de8d182b7ebaf
P001252254,79e0a67a782605a4d0240d40a77e3cc4
P001252254,79e0a67a782605a4d0240d40a77e3cc4
P001252254,79e0a67a782605a4d0240d40a77e3cc4
P001253727,c258e20dde371e3df9bb47350c109068
P001254336,127ef511278f2671b439bec0f161abe0
P001254774,cf3a77aff102fb0ad1859bd86486c45f
P001256185,e00259c145be728d6b403f3973f5e047
P001257060,edfb650012785f204e7eae3adaaccd76
P001257223,8a25c96926912b1f3f1fa44a140c7981
P001257740,3076aaea94681ef3b3bc13ce2efcd7d4
P001258416,7a10900f41170f91269211e5bbc9a028
P001258864,cf5f4fa491b65c9c958ef73bd4d1d88b
P001261193,344fbf5cee2513fe59ab28494cad2f79
P001262206,edf1a30c61efae36dc7a259672c4f269
P001262272,5aa28cb889c703281ee00473f39ee789
P001263415,71fe79e14805127fbbaff2df73cc673b
P001263878,824d7b8907aaf24853ae537cd3cf0184
P001264130,2202f0f2aefb21e924095c432f2fdbf7
P001264774,4b93e282ec3ce487fd8e4f38c87c1e52
P001265366,c0b748f42253ed1b8e1e7f41d8edf06d
P001265790,46d3f7e75bb68a00317ed93f7516269d
P001265790,46d3f7e75bb68a00317ed93f7516269d
P001265928,46fd9e71bd0fbb0fe1b40e40a1f5ae4d
P001265928,46fd9e71bd0fbb0fe1b40e40a1f5ae4d
P001266789,d5671b09fbaef5dc66b3106b2a0b24a6
P001269453,46d1b33428d7bc6e9797d7f4428bb582
P001269743,457c921830e52e6fb4140a6c5bf0119d
P001270225,ca4bf554acd8a248ba4b8d5634b5f0ad
P001273149,16f36fead5736bfae7b52074525cc388
P001275726,fd5cd09853d5c0a82a89d502c7bbffea
