Appointment Year,Semester,Stipend Type,Account,OBJ,School Name,PID,Program Code,Program Name,Work Hours,Fall Offer Amount
2021,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100917839,MA5293,Applied Linguistics,5,975
2021,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P100995330,MA5293,Applied Linguistics,15,6500
2021,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100995572,MA5293,Applied Linguistics,5,975
2021,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100996496,MA5293,Applied Linguistics,5,975
2022,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100215934,MA5293,Applied Linguistics,5,975
2022,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100850250,MA5293,Applied Linguistics,5,975
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P100917839,MA5293,Applied Linguistics,15,6500
2022,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100992091,MA5293,Applied Linguistics,5,975
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P100994664,MA5293,Applied Linguistics,15,6500
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P100995330,MA5293,Applied Linguistics,15,8342
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P100995330,MA5293,Applied Linguistics,2,8342
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P100995572,MA5293,Applied Linguistics,15,6500
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P100995891,MA5293,Applied Linguistics,15,6500
2022,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100996496,MA5293,Applied Linguistics,5,975
2022,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P101019216,MA5293,Applied Linguistics,5,975
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101027856,MA5293,Applied Linguistics,15,6500
2022,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P101030108,MA5293,Applied Linguistics,5,975
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101030841,MA5293,Applied Linguistics,15,8342
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101030841,MA5293,Applied Linguistics,2,8342
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101031267,MA5293,Applied Linguistics,15,6500
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101032154,MA5293,Applied Linguistics,15,6500
2022,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101032356,MA5293,Applied Linguistics,15,6500
2023,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100215934,MA5293,Applied Linguistics,5,975
2023,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100850250,MA5293,Applied Linguistics,5,975
2023,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100904758,MA5293,Applied Linguistics,5,975
2023,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100956306,MA5293,Applied Linguistics,5,975
2023,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P100992091,MA5293,Applied Linguistics,5,975
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P100994664,MA5293,Applied Linguistics,15,6500
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P100995891,MA5293,Applied Linguistics,15,6500
2023,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P101019216,MA5293,Applied Linguistics,5,975
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101023412,MA5293,Applied Linguistics,15,6500
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101027856,MA5293,Applied Linguistics,15,6500
2023,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P101030108,MA5293,Applied Linguistics,5,975
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101030841,MA5293,Applied Linguistics,15,8342
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101030841,MA5293,Applied Linguistics,2,8342
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101031267,MA5293,Applied Linguistics,15,6500
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101032154,MA5293,Applied Linguistics,15,6500
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101032356,MA5293,Applied Linguistics,15,6500
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101032408,MA5293,Applied Linguistics,15,8342
2023,FALL,TA,10-100000-100190-1277-10-706110,706110,Arts & Sciences,P101032408,MA5293,Applied Linguistics,2,8342
2023,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P101052345,MA5293,Applied Linguistics,5,975
2023,FALL,GRS,10-100000-100190-1015-10-706110,706110,Arts & Sciences,P101069868,MA5293,Applied Linguistics,5,975
