School Name,Program Code,Program Name,Fellowships,fellowship hours,other awards,other award hours,stipends,stipend hours,tuition scholarships
Arts & Sciences,PH4215,History,"9,150.00 ",,,,,,
Arts & Sciences,PH2517,Biological Sciences,,,"4,211.00 ",,"7,621.00 ",15,"4,094.00 "
Arts & Sciences,PH4103,Experimental Psychology,,,"4,211.00 ",,"8,500.00 ",15,"4,094.00 "
Arts & Sciences,PH4215,History,,,,,"9,150.00 ",15,
Arts & Sciences,PH6947,Molecular and Cellular Biology,"2,000.00 ",,215.00 ,,"8,694.00 ",20,"4,094.00 "
Arts & Sciences,MS2111,Plant Biology,,,215.00 ,,975.00 ,5,"3,119.00 "
Arts & Sciences,PH4215,History,"9,150.00 ",,,,,,
Arts & Sciences,MS4239,Geography,,,215.00 ,,"6,600.00 ",15,"4,094.00 "
Arts & Sciences,MS3101,Mathematics,,,215.00 ,,"8,440.00 ",15,"4,094.00 "
Arts & Sciences,MS3101,Mathematics,,,224.00 ,,"8,440.00 ",15,"4,094.00 "
Arts & Sciences,PH3101,Mathematics,,,215.00 ,,"8,540.00 ",15,"4,094.00 "
Arts & Sciences,PH3331,Physics,,,215.00 ,,"9,801.00 ",15,"4,094.00 "
Arts & Sciences,MS2517,Biological Sciences,,,215.00 ,,"6,012.00 ",15,"4,094.00 "
Arts & Sciences,MS2517,Biological Sciences,,,215.00 ,,"6,012.00 ",15,"4,094.00 "
Arts & Sciences,MA4215,History,,,215.00 ,,"7,000.00 ",15,"4,094.00 "
Arts & Sciences,PH6947,Molecular and Cellular Biology,,,215.00 ,,"8,694.00 ",20,"4,094.00 "
Arts & Sciences,MA5241,Philosophy,,,215.00 ,,"6,500.00 ",15,"4,094.00 "
Arts & Sciences,PH3311,Chemistry,,,,,"11,622.00 ",20,
Arts & Sciences,MA4416,"Law, Justice & Culture",,,,,"6,000.00 ",20,
Arts & Sciences,PH3101,Mathematics,,,,,"1,100.00 ",3,
Arts & Sciences,MA5229,Spanish,,,215.00 ,,"6,550.00 ",15,"4,094.00 "
